NWB File,Channel,Location
Rat01_Insertion2_Depth1.nwb,3,"M1, L1"
Rat01_Insertion2_Depth1.nwb,120,"M1, L5"
Rat01_Insertion2_Depth2.nwb,3,"M1, L5"
Rat01_Insertion2_Depth2.nwb,120,"M1, L6"
Rat01_Insertion2_Depth3.nwb,3,"M1, L6"
Rat01_Insertion2_Depth3.nwb,120,"M1, Outside of the cortex"
Rat03_Insertion2_Depth1.nwb,3,"M1, Outside of the cortex"
Rat03_Insertion2_Depth1.nwb,120,"M1, L2/3"
Rat03_Insertion2_Depth2.nwb,3,"M1, L2/3"
Rat03_Insertion2_Depth2.nwb,120,"M1, L6"
Rat06_Insertion2_Depth2.nwb,3,"M1, L2/3"
Rat06_Insertion2_Depth2.nwb,120,"M1, L6"
Rat06_Insertion2_Depth3.nwb,3,"M1, L6"
Rat06_Insertion2_Depth3.nwb,120,"M1, Outside of the cortex"
Rat09_Insertion1_Depth1.nwb,3,"M1, Outside of the cortex"
Rat09_Insertion1_Depth1.nwb,120,"M1, L2/3"
Rat09_Insertion1_Depth2.nwb,3,"M1, L2/3"
Rat09_Insertion1_Depth2.nwb,120,"M1, L6"
Rat09_Insertion1_Depth3.nwb,3,"M1, L6"
Rat09_Insertion1_Depth3.nwb,120,"M1, Outside of the cortex"
Rat12_Insertion2_Depth1.nwb,3,"M1, Outside of the cortex"
Rat12_Insertion2_Depth1.nwb,120,"M1, L5"
Rat12_Insertion2_Depth2.nwb,3,"M1, L5"
Rat12_Insertion2_Depth2.nwb,120,"M1, L6"
Rat13_Insertion2_Depth1.nwb,3,"M1, Outside of the cortex"
Rat13_Insertion2_Depth1.nwb,120,"M1, L2/3"
Rat13_Insertion2_Depth2.nwb,3,"M1, L2/3"
Rat13_Insertion2_Depth2.nwb,120,"M1, L6"
Rat13_Insertion2_Depth3.nwb,3,"M1, L6"
Rat13_Insertion2_Depth3.nwb,120,"M1, Outside of the cortex"
Rat14_Insertion2_Depth1.nwb,3,"M1, Outside of the cortex"
Rat14_Insertion2_Depth1.nwb,120,"M1, L2/3"
Rat14_Insertion2_Depth2.nwb,3,"M1, L2/3"
Rat14_Insertion2_Depth2.nwb,120,"M1, L5"
Rat14_Insertion2_Depth3.nwb,3,"M1, L5"
Rat14_Insertion2_Depth3.nwb,120,"M1, Outside of the cortex"
Rat16_Insertion2_Depth1.nwb,3,"M1, Outside of the cortex"
Rat16_Insertion2_Depth1.nwb,120,"M1, L2/3"
Rat16_Insertion2_Depth2.nwb,3,"M1, L2/3"
Rat16_Insertion2_Depth2.nwb,120,"M1, L5"
Rat16_Insertion2_Depth3.nwb,3,"M1, L5"
Rat16_Insertion2_Depth3.nwb,120,"M1, Outside of the cortex"
Rat17_Insertion2_Depth1.nwb,3,"M1, Outside of the cortex"
Rat17_Insertion2_Depth1.nwb,120,"M1, L2/3"
Rat17_Insertion2_Depth2.nwb,3,"M1, L2/3"
Rat17_Insertion2_Depth2.nwb,120,"M1, L5"
Rat17_Insertion2_Depth3.nwb,3,"M1, L5"
Rat17_Insertion2_Depth3.nwb,120,"M1, Outside of the cortex"
Rat18_Insertion2_Depth1.nwb,3,"M1, Outside of the cortex"
Rat18_Insertion2_Depth1.nwb,120,"M1, L2/3"
Rat18_Insertion2_Depth3.nwb,3,"M1, L5"
Rat18_Insertion2_Depth3.nwb,120,"M1, Outside of the cortex"
Rat19_Insertion2_Depth2.nwb,3,"M1, L2/3"
Rat19_Insertion2_Depth2.nwb,120,"M1, L5"
Rat19_Insertion2_Depth3.nwb,3,"M1, L5"
Rat19_Insertion2_Depth3.nwb,120,"M1, Outside of the cortex"
Rat20_Insertion2_Depth1.nwb,3,"M1, Outside of the cortex"
Rat20_Insertion2_Depth1.nwb,120,"M1, L2/3"
Rat20_Insertion2_Depth2.nwb,3,"M1, L2/3"
Rat20_Insertion2_Depth2.nwb,120,"M1, L5"
Rat20_Insertion2_Depth3.nwb,3,"M1, L5"
Rat20_Insertion2_Depth3.nwb,120,"M1, Outside of the cortex"
